source,target,value
Freshwater Emergent Wetland,Agricultural,2
Freshwater Emergent Wetland,Conifer,117
Freshwater Emergent Wetland,Conifer-Hardwood,27
Freshwater Emergent Wetland,Exotic Herbaceous,1
Freshwater Emergent Wetland,Exotic Tree-Shrub,3
Freshwater Emergent Wetland,Hardwood,94
Freshwater Emergent Wetland,Open Water,8
Freshwater Emergent Wetland,Riparian,359
Freshwater Forested/Shrub Wetland,Conifer,723
Freshwater Forested/Shrub Wetland,Conifer-Hardwood,132
Freshwater Forested/Shrub Wetland,Developed,1
Freshwater Forested/Shrub Wetland,Exotic Herbaceous,4
Freshwater Forested/Shrub Wetland,Exotic Tree-Shrub,9
Freshwater Forested/Shrub Wetland,Hardwood,582
Freshwater Forested/Shrub Wetland,Open Water,3
Freshwater Forested/Shrub Wetland,Riparian,3155
Freshwater Pond,Conifer,61
Freshwater Pond,Conifer-Hardwood,3
Freshwater Pond,Exotic Herbaceous,11
Freshwater Pond,Exotic Tree-Shrub,1
Freshwater Pond,Hardwood,3
Freshwater Pond,Open Water,94
Freshwater Pond,Riparian,45
Lake,Conifer,315
Lake,Conifer-Hardwood,18
Lake,Exotic Herbaceous,2
Lake,Exotic Tree-Shrub,1
Lake,Hardwood,12
Lake,Open Water,1015
Lake,Riparian,69
Riverine,Conifer,16
Riverine,Conifer-Hardwood,11
Riverine,Exotic Tree-Shrub,1
Riverine,Hardwood,51
Riverine,Riparian,16
